,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
655,2012-08-08,104.37011563084988,4.47,4.03,-1.2738327102645406,52654600.0,0.0,1.0,4.05,4.47,4.03,4.4,52654600.0
656,2012-08-09,104.72908822599655,4.41,4.23,-1.304859121046317,23069200.0,0.0,1.0,4.41,4.41,4.23,4.37,23069200.0
657,2012-08-10,104.5480608211432,4.37,4.22,-1.3358855318280933,7842500.0,0.0,1.0,4.23,4.37,4.22,4.34,7842500.0
658,2012-08-13,104.62703341628983,4.32,4.21,-1.4169119426098695,12805200.0,0.0,1.0,4.31,4.32,4.21,4.26,12805200.0
659,2012-08-14,104.62600601143649,4.35,4.11,-1.5579383533916453,13190100.0,0.0,1.0,4.31,4.35,4.11,4.12,13190100.0
660,2012-08-15,104.42497860658314,4.23,4.1,-1.4889647641734212,10406600.0,0.0,1.0,4.11,4.23,4.1,4.19,10406600.0
661,2012-08-16,104.50395120172979,4.24,4.13,-1.5099911749551977,12980100.0,0.0,1.0,4.19,4.24,4.13,4.17,12980100.0
662,2012-08-17,104.48292379687643,4.2,4.08,-1.5810175857369742,9228900.0,0.0,1.0,4.17,4.2,4.08,4.1,9228900.0
663,2012-08-20,104.41189639202308,4.1,3.98,-1.5920439965187492,17270600.0,0.0,1.0,4.1,4.1,3.98,4.09,17270600.0
664,2012-08-21,104.41086898716972,4.18,4.03,-1.6130704073005249,15999500.0,0.0,1.0,4.1,4.18,4.03,4.07,15999500.0
665,2012-08-22,104.35984158231638,4.05,3.96,-1.6740968180823015,17671700.0,0.0,1.0,4.05,4.05,3.96,4.01,17671700.0
666,2012-08-23,104.28881417746302,3.98,3.88,-1.7851232288640775,24424500.0,0.0,1.0,3.98,3.98,3.88,3.9,24424500.0
667,2012-08-24,104.18778677260968,3.95,3.85,-1.7461496396458536,12557300.0,0.0,1.0,3.88,3.95,3.85,3.94,12557300.0
668,2012-08-27,104.25675936775633,3.95,3.82,-1.8371760504276295,13057600.0,0.0,1.0,3.95,3.95,3.82,3.85,13057600.0
669,2012-08-28,104.14573196290297,3.88,3.75,-1.8982024612094057,14500800.0,0.0,1.0,3.84,3.88,3.75,3.79,14500800.0
670,2012-08-29,104.10470455804963,3.84,3.76,-1.9192288719911819,10004700.0,0.0,1.0,3.8,3.84,3.76,3.77,10004700.0
671,2012-08-30,104.05367715319628,3.8,3.7,-1.9902552827729578,12154100.0,0.0,1.0,3.75,3.8,3.7,3.7,12154100.0
672,2012-08-31,104.07264974834293,3.78,3.6,-1.971281693554734,23593500.0,0.0,1.0,3.77,3.78,3.6,3.72,23593500.0
673,2012-09-04,103.99162234348958,3.71,3.6,-2.05230810433651,16162600.0,0.0,1.0,3.69,3.71,3.6,3.64,16162600.0
674,2012-09-05,103.87059493863623,3.63,3.43,-2.1833345151182866,34274300.0,0.0,1.0,3.57,3.63,3.43,3.51,34274300.0
675,2012-09-06,103.84956753378287,3.66,3.53,-2.0343609259000623,19948800.0,0.0,1.0,3.55,3.66,3.53,3.66,19948800.0
676,2012-09-07,103.91854012892952,3.62,3.43,-2.2453873366818384,31043300.0,0.0,1.0,3.62,3.62,3.43,3.45,31043300.0
677,2012-09-10,103.78751272407618,3.59,3.46,-2.2264137474636145,32422000.0,0.0,1.0,3.49,3.59,3.46,3.47,32422000.0
678,2012-09-11,103.81648531922282,3.77,3.48,-1.9474401582453909,33085500.0,0.0,1.0,3.52,3.77,3.48,3.75,33085500.0
679,2012-09-12,104.12545791436946,3.92,3.75,-1.808466569027166,50272400.0,0.0,1.0,3.83,3.92,3.75,3.89,50272400.0
680,2012-09-13,104.11443050951613,3.94,3.745,-1.7794929798089423,38356300.0,0.0,1.0,3.82,3.94,3.745,3.92,38356300.0
681,2012-09-14,104.25340310466277,3.99,3.85,-1.8005193905907184,23583300.0,0.0,1.0,3.96,3.99,3.85,3.9,23583300.0
682,2012-09-17,104.19237569980942,4.02,3.82,-1.6915458013724947,42220500.0,0.0,1.0,3.9,4.02,3.82,4.01,42220500.0
683,2012-09-18,103.99134829495605,3.9,3.6,-2.0825722121542705,91369500.0,0.0,1.0,3.7,3.9,3.6,3.62,91369500.0
684,2012-09-19,103.95032089010272,3.71,3.58,-2.0435986229360465,31304000.0,0.0,1.0,3.66,3.71,3.58,3.66,31304000.0
685,2012-09-20,103.92929348524936,3.66,3.59,-2.114625033717823,20836600.0,0.0,1.0,3.64,3.66,3.59,3.59,20836600.0
686,2012-09-21,103.91826608039601,3.68,3.58,-2.105651444499599,20269300.0,0.0,1.0,3.63,3.68,3.58,3.6,20269300.0
687,2012-09-24,103.82723867554266,3.55,3.45,-2.246677855281375,23733000.0,0.0,1.0,3.54,3.55,3.45,3.46,23733000.0
688,2012-09-25,103.76621127068931,3.5,3.28,-2.4277042660631514,29232200.0,0.0,1.0,3.48,3.5,3.28,3.28,29232200.0
689,2012-09-26,103.55518386583596,3.42,3.22,-2.3887306768449275,22959900.0,0.0,1.0,3.27,3.42,3.22,3.32,22959900.0
690,2012-09-27,103.6441564609826,3.5,3.34,-2.2797570876267033,19551200.0,0.0,1.0,3.36,3.5,3.34,3.43,19551200.0
691,2012-09-28,103.71312905612925,3.44,3.35,-2.3407834984084794,15558100.0,0.0,1.0,3.43,3.44,3.35,3.37,15558100.0
692,2012-10-01,103.67210165127591,3.41,3.26,-2.431809909190256,25050500.0,0.0,1.0,3.39,3.41,3.26,3.28,25050500.0
693,2012-10-02,103.58107424642256,3.41,3.17,-2.4428363199720318,27052700.0,0.0,1.0,3.3,3.41,3.17,3.27,27052700.0
694,2012-10-03,103.5600468415692,3.29,3.1,-2.593862730753808,27800700.0,0.0,1.0,3.28,3.29,3.1,3.12,27800700.0
695,2012-10-04,103.44901943671584,3.25,3.09,-2.494889141535584,23236300.0,0.0,1.0,3.17,3.25,3.09,3.22,23236300.0
